MSN,state,Year,data
NGRCB,IL,1992,483903

NGRCB,IL,1993,505733

NGRCB,IL,1994,483714

NGRCB,IL,1995,510877

NGRCB,IL,1996,548974

NGRCB,IL,1997,507791

NGRCB,IL,1998,418897

NGRCB,IL,1999,455021

NGRCB,IL,2000,477379

NGRCB,IL,2001,435642

NGRCB,IL,2002,465427

NGRCB,IL,2003,480558

NGRCB,IL,2004,449459

NGRCB,IL,2005,443991

NGRCB,IL,2006,404471

NGRCB,IL,2007,439314

NGRCB,IL,2008,472366

NGRCB,IL,2009,445693

NGRCB,IL,2010,419761

NGRCB,IL,2011,422588

NGRCB,IL,2012,364839

NGRCB,IL,2013,459893

NGRCB,IL,2014,490661

NGRCB,IL,2015,412894

NGRCB,IL,2016,399189

NGRCB,IL,2017,388810

NGRCB,IL,2018,451040

NGRCB,IL,2019,452296

NGRCB,IN,1960,78663

NGRCB,IN,1961,87512

NGRCB,IN,1962,98370

NGRCB,IN,1963,98957

NGRCB,IN,1964,108011

NGRCB,IN,1965,114243

NGRCB,IN,1966,122454

NGRCB,IN,1967,139519

NGRCB,IN,1968,146101

NGRCB,IN,1969,156856

NGRCB,IN,1970,159651

NGRCB,IN,1971,163723

NGRCB,IN,1972,170217

NGRCB,IN,1973,154709

NGRCB,IN,1974,157630

NGRCB,IN,1975,161190

NGRCB,IN,1976,151316

NGRCB,IN,1977,150113

NGRCB,IN,1978,166617

NGRCB,IN,1979,171474

NGRCB,IN,1980,161855

NGRCB,IN,1981,157874

NGRCB,IN,1982,162640

NGRCB,IN,1983,146131

NGRCB,IN,1984,152630

