MSN,state,Year,data
NGRCB,AZ,1978,32073

NGRCB,AZ,1979,30735

NGRCB,AZ,1980,30863

NGRCB,AZ,1981,27741

NGRCB,AZ,1982,31066

NGRCB,AZ,1983,30589

NGRCB,AZ,1984,28874

NGRCB,AZ,1985,29945

NGRCB,AZ,1986,26348

NGRCB,AZ,1987,29466

NGRCB,AZ,1988,29165

NGRCB,AZ,1989,28287

NGRCB,AZ,1990,31301

NGRCB,AZ,1991,32122

NGRCB,AZ,1992,29273

NGRCB,AZ,1993,28955

NGRCB,AZ,1994,30516

NGRCB,AZ,1995,27915

NGRCB,AZ,1996,27990

NGRCB,AZ,1997,31765

NGRCB,AZ,1998,36702

NGRCB,AZ,1999,33466

NGRCB,AZ,2000,35089

NGRCB,AZ,2001,36475

NGRCB,AZ,2002,35921

NGRCB,AZ,2003,36265

NGRCB,AZ,2004,38864

NGRCB,AZ,2005,36602

NGRCB,AZ,2006,36732

NGRCB,AZ,2007,39305

NGRCB,AZ,2008,39461

NGRCB,AZ,2009,35367

NGRCB,AZ,2010,38445

NGRCB,AZ,2011,39094

NGRCB,AZ,2012,35693

NGRCB,AZ,2013,40729

NGRCB,AZ,2014,33442

NGRCB,AZ,2015,36047

NGRCB,AZ,2016,36579

NGRCB,AZ,2017,34332

NGRCB,AZ,2018,36517

NGRCB,AZ,2019,43411

NGRCB,CA,1960,377572

NGRCB,CA,1961,388749

NGRCB,CA,1962,430026

NGRCB,CA,1963,444928

NGRCB,CA,1964,499736

NGRCB,CA,1965,524855

NGRCB,CA,1966,531915

NGRCB,CA,1967,559715

NGRCB,CA,1968,553353

NGRCB,CA,1969,600914

NGRCB,CA,1970,582381

NGRCB,CA,1971,665072

NGRCB,CA,1972,669746

NGRCB,CA,1973,646764

NGRCB,CA,1974,611387

NGRCB,CA,1975,666718

NGRCB,CA,1976,630446

NGRCB,CA,1977,568934

NGRCB,CA,1978,565126

NGRCB,CA,1979,619069

NGRCB,CA,1980,552411

NGRCB,CA,1981,509933

NGRCB,CA,1982,562517

NGRCB,CA,1983,518959

NGRCB,CA,1984,490008

NGRCB,CA,1985,547793

NGRCB,CA,1986,481277

NGRCB,CA,1987,516573

NGRCB,CA,1988,511451

NGRCB,CA,1989,534620

NGRCB,CA,1990,530961

NGRCB,CA,1991,522101

NGRCB,CA,1992,492278

NGRCB,CA,1993,520050

NGRCB,CA,1994,530977

NGRCB,CA,1995,482729

NGRCB,CA,1996,489526

NGRCB,CA,1997,487098

NGRCB,CA,1998,580925

NGRCB,CA,1999,576853

NGRCB,CA,2000,494165

NGRCB,CA,2001,520632

NGRCB,CA,2002,520837

NGRCB,CA,2003,507874

NGRCB,CA,2004,522272

NGRCB,CA,2005,494886

NGRCB,CA,2006,502984

NGRCB,CA,2007,506805

NGRCB,CA,2008,502833

NGRCB,CA,2009,493696

NGRCB,CA,2010,505530

NGRCB,CA,2011,522406

NGRCB,CA,2012,487614

NGRCB,CA,2013,494357

NGRCB,CA,2014,408754

NGRCB,CA,2015,415935

NGRCB,CA,2016,426390

NGRCB,CA,2017,446314

NGRCB,CA,2018,438159

NGRCB,CA,2019,480485

NGRCB,CO,1960,54125

NGRCB,CO,1961,57691

NGRCB,CO,1962,59175

NGRCB,CO,1963,50330

NGRCB,CO,1964,59225

NGRCB,CO,1965,59621

NGRCB,CO,1966,72295

NGRCB,CO,1967,68419

NGRCB,CO,1968,77352

NGRCB,CO,1969,80014

NGRCB,CO,1970,80448

NGRCB,CO,1971,82658

NGRCB,CO,1972,89204

NGRCB,CO,1973,96525

NGRCB,CO,1974,89913

NGRCB,CO,1975,89516

NGRCB,CO,1976,96766

NGRCB,CO,1977,88735

NGRCB,CO,1978,79319

NGRCB,CO,1979,86026

NGRCB,CO,1980,89225

NGRCB,CO,1981,74657

NGRCB,CO,1982,84772

NGRCB,CO,1983,84709

NGRCB,CO,1984,93655

NGRCB,CO,1985,90085

NGRCB,CO,1986,81412

NGRCB,CO,1987,86303

NGRCB,CO,1988,93521

NGRCB,CO,1989,92502

NGRCB,CO,1990,92191

NGRCB,CO,1991,100304

NGRCB,CO,1992,96440

NGRCB,CO,1993,107145

NGRCB,CO,1994,99507

NGRCB,CO,1995,105766

NGRCB,CO,1996,112607

NGRCB,CO,1997,116644

NGRCB,CO,1998,111534

NGRCB,CO,1999,111789

NGRCB,CO,2000,116133

NGRCB,CO,2001,124175

NGRCB,CO,2002,129771

NGRCB,CO,2003,125422

NGRCB,CO,2004,121353

NGRCB,CO,2005,127677

NGRCB,CO,2006,122875

NGRCB,CO,2007,134578

NGRCB,CO,2008,136006

NGRCB,CO,2009,130896

NGRCB,CO,2010,133463

NGRCB,CO,2011,134161

NGRCB,CO,2012,120076

NGRCB,CO,2013,139516

NGRCB,CO,2014,138065

NGRCB,CO,2015,129193

NGRCB,CO,2016,128959

NGRCB,CO,2017,125643

NGRCB,CO,2018,137145

NGRCB,CO,2019,154040

NGRCB,CT,1960,16556

NGRCB,CT,1961,18393

NGRCB,CT,1962,19351

NGRCB,CT,1963,20073

NGRCB,CT,1964,21400

NGRCB,CT,1965,22721

NGRCB,CT,1966,25406

NGRCB,CT,1967,26727

NGRCB,CT,1968,26860

NGRCB,CT,1969,29513

NGRCB,CT,1970,31686

NGRCB,CT,1971,32388

NGRCB,CT,1972,33405

NGRCB,CT,1973,30715

NGRCB,CT,1974,33818

NGRCB,CT,1975,32304

NGRCB,CT,1976,32568

NGRCB,CT,1977,31380

NGRCB,CT,1978,32213

NGRCB,CT,1979,31651

NGRCB,CT,1980,32747

NGRCB,CT,1981,34171

NGRCB,CT,1982,33949

NGRCB,CT,1983,31813

NGRCB,CT,1984,34022

NGRCB,CT,1985,33761

NGRCB,CT,1986,36158

NGRCB,CT,1987,37254

NGRCB,CT,1988,40749

NGRCB,CT,1989,42078

NGRCB,CT,1990,38694

NGRCB,CT,1991,38334

NGRCB,CT,1992,43570

NGRCB,CT,1993,43353

NGRCB,CT,1994,42899

NGRCB,CT,1995,42036

NGRCB,CT,1996,45019

NGRCB,CT,1997,41694

NGRCB,CT,1998,36248

NGRCB,CT,1999,39281

NGRCB,CT,2000,42716

NGRCB,CT,2001,41968

NGRCB,CT,2002,41250

